	Krista	Mildred	Kimberly	Madelyn	Doug	Deborah	Brandon	Cheryl	Daisy	Harold
OTU_0	0.0540199020692	0.0530511530796	0.063670411985	0.0207388204796	0.0676168110778	0.0674326115776	0.0723199672668	0.0398446170921	0.000838066859112	0.0664522058824
OTU_1	0.0218764808087	0.0715573692702	0.0813847555421	0.0647007993087	0.00566847518018	0.0417145382236	0.0613747954173	0.0439511653718	0.029239221529	0.0647977941176
OTU_2	0.0383825619965	0.0522919236974	0.00880655936836	0.0187945560596	0.0485869301158	0.0750331418471	0.0692512274959	0.0596004439512	0.0786851662166	0.00661764705882
OTU_3	0.0613647133154	0.0869317642593	0.0116408543375	0.105422337438	0.061138553729	0.0626601855943	0.0866407528642	0.0478357380688	0.0417171058758	0.078125
OTU_4	0.00781867003633	0.0933852140078	0.0179167931977	0.0815510909484	0.0645396388372	0.0582412726469	0.0150368248773	0.100998890122	0.0393891423782	0.0264705882353
OTU_5	0.0758963828779	0.0251494732846	0.0705536997672	0.0690213869086	0.0440521499717	0.0479893946089	0.0730360065466	0.0270810210877	0.0140608995251	0.0620404411765
OTU_6	0.0402779971568	0.0435607858024	0.0892802915275	0.0197666882696	0.00226739007207	0.0708793636765	0.013093289689	0.0142064372919	0.086786479188	0.00487132352941
OTU_7	0.0711577949771	0.0521970200247	0.0493977123191	0.0816591056384	0.0221070532027	0.0296067167477	0.0396890343699	0.0684794672586	0.00391097867585	0.040625
OTU_8	0.0428842205023	0.0842744614217	0.0260147788238	0.0346727154893	0.0808972386428	0.0828104286346	0.00583060556465	0.0322974472808	0.0810131297141	0.0109375
OTU_9	0.0615226662455	0.040808579292	0.00830043526673	0.0098293367898	0.0725564823063	0.0351745470614	0.0625	0.0627081021088	0.0845516342304	0.0581801470588
OTU_10	0.0740799241826	0.00797190851286	0.0205486385262	0.0349967595593	0.0626771398494	0.0851966416262	0.00480769230769	0.0709211986681	0.0121985287271	0.0893382352941
OTU_11	0.0685515716317	0.017082661099	0.0856361979957	0.0154461006697	0.0534456231274	0.0200618647813	0.0975859247136	0.0877913429523	0.066952230189	0.0835477941176
OTU_12	0.02945822145	0.0809528328746	0.0566858993825	0.0329444804493	0.0470483439955	0.0149359257623	0.0690466448445	0.0497225305216	0.00884626129062	0.0181066176471
OTU_13	0.0478597377981	0.0242953402297	0.0891790667072	0.0745301360985	0.023645639323	0.0821917808219	0.0834697217676	0.0955604883463	0.0360368749418	0.0560661764706
OTU_14	0.0437529616174	0.0923412736073	0.0372507338799	0.107906675308	0.0742570248603	0.0177640300486	0.0391775777414	0.0568257491676	0.0843653971506	0.0340073529412
OTU_15	0.0438319380825	0.0905381038246	0.0387691061848	0.00248433786995	0.0566037735849	0.0114891736633	0.0385638297872	0.0108768035516	0.0534500419033	0.0855698529412
OTU_16	0.0579687253199	0.011673151751	0.0974795019739	0.0641607258587	0.0762814802818	0.0653115333628	0.0151391162029	0.0231964483907	0.0523326194245	0.0377757352941
OTU_17	0.0617595956405	0.00389105058366	0.0058710395789	0.0761503564485	0.00291521580695	0.0687582854618	0.00879705400982	0.00477247502775	0.0811993667939	0.00101102941176
OTU_18	0.0608118780603	0.029135427541	0.00809798562608	0.00345647007993	0.0147380354685	0.0113124171454	0.0824468085106	0.0305216426193	0.0162026259428	0.0509191176471
OTU_19	0.02930026852	0.0174622757901	0.0449438202247	0.0527111687189	0.0476961697303	0.0252761820592	0.0286415711948	0.0706992230855	0.071701275724	0.0473345588235
OTU_20	0.00742378771126	0.0214482300465	0.0885717177852	0.0290559516094	0.0712608308365	0.0261599646487	0.0335515548282	0.00210876803552	0.0565229537201	0.0772058823529
